Grupos,Valores de Cinza
Controle,181.53
Controle,181.87
Controle,177.88
Controle,169.6
Controle,167.06
Controle,170.12
Controle,175.3
Controle,182.15
Controle,186.78
Controle,178.25
Controle,167.53
Controle,163.28
Sabao em po,167.92
Sabao em po,162.93
Sabao em po,164.71
Sabao em po,169.51
Sabao em po,175.35
Sabao em po,175.41
Sabao em po,168.85
Sabao em po,164.47
Sabao em po,166.93
Sabao em po,169.21
Sabao em po,171.22
Sabao em po,165.95
Sabao em barra,167.53
Sabao em barra,165.58
Sabao em barra,167.1
Sabao em barra,168.68
Sabao em barra,169.85
Sabao em barra,171.07
Sabao em barra,170.69
Sabao em barra,168.77
Sabao em barra,168.04
Sabao em barra,168.55
Sabao em barra,169.7
Sabao em barra,168.63
Candida,156.44
Candida,158.51
Candida,160.87
Candida,163.91
Candida,165.11
Candida,163.97
Candida,160.97
Candida,158.62
Candida,158.68
Candida,159.37
Candida,160.08
Candida,162.93
